time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140282209793651,0,0,0,0,1406.46,1406.4,0,0,
638140282209794482,0,0,0,0,1406.61,1406.4,0,0,
638140282209813344,0,0,0,0,1406.61,1406.62,0,0,
638140282220732997,0,0,0,0,1406.68,1406.62,0,0,
638140282220733429,0,0,0,0,1406.72,1406.62,0,0,
638140282220733806,0,0,0,0,1406.72,1406.62,0,0,
638140282220735236,0,0,0,0,1406.73,1406.62,0,0,
638140282220739592,0,0,0,0,1406.73,1406.74,0,0,
638140282223687987,0,0,0,0,1406.74,1406.74,0,0,
638140282223693966,0,0,0,0,1406.74,1406.75,0,0,
638140282265384017,0,0,0,0,1406.82,1406.75,0,0,
638140282265395469,0,0,0,0,1406.82,1406.83,0,0,
638140282265695539,0,0,0,0,1406.82,1406.88,0,0,
638140282265702129,0,0,0,0,1406.87,1406.88,0,0,
638140282265702502,0,0,0,0,1406.87,1406.88,0,0,
638140282266139532,0,0,0,1408.41,1406.87,1406.88,0,0,
638140282281678117,1406.03,0,0,1408.41,1406.87,1406.88,0,0,
638140282281678740,1406.23,1406.3,0,1408.41,1406.87,1406.88,0,0,
638140282281679166,1406.23,1406.3,0,1408.41,1406.87,1406.88,0,0,
638140282281679584,1406.23,1406.3,0,1408.41,1406.87,1406.88,0,0,
638140282282812767,1406.29,1406.3,0,1408.41,1406.87,1406.88,0,0,
638140282286749172,1406.29,1406.3,0,1408.41,1406.88,1406.88,0,0,
638140282286749585,1406.29,1406.3,0,1408.41,1406.89,1406.88,0,0,
638140282286751095,1406.29,1406.3,0,1408.41,1406.99,1406.88,0,0,
638140282286759207,1406.29,1406.3,0,1408.41,1406.99,1407,0,0,
638140282311684165,1406.29,1406.3,0,1408.41,1406.98,1407,0,0,
638140282311686761,1406.29,1406.3,0,1408.41,1406.58,1407,0,0,
638140282311705918,1406.29,1406.3,0,1408.41,1406.58,1406.9,0,0,
638140282311706297,1406.29,1406.3,0,1408.41,1406.58,1406.83,0,0,
638140282311706598,1406.29,1406.3,0,1408.41,1406.58,1406.77,0,0,
638140282311706899,1406.29,1406.3,0,1408.41,1406.58,1406.77,0,0,
638140282311707237,1406.29,1406.3,0,1408.41,1406.58,1406.77,0,0,
638140282311707518,1406.29,1406.3,0,1408.41,1406.58,1406.77,0,0,
638140282311707767,1406.29,1406.3,0,1408.41,1406.58,1406.71,0,0,
638140282311708044,1406.29,1406.3,0,1408.41,1406.58,1406.59,0,0,
638140282311708362,1406.29,1406.3,0,1408.41,1406.58,1406.59,0,0,
638140282311708648,1406.29,1406.3,0,1408.41,1406.58,1406.59,0,0,
638140282311708946,1406.29,1406.3,0,1408.41,1406.58,1406.59,0,0,
638140282311709267,1406.29,1406.3,0,1408.41,1406.58,1406.59,0,0,
638140282312032718,1406.29,1406.29,0,1408.41,1406.58,1406.59,0,0,
638140282312052343,1406.29,1406.16,0,1408.41,1406.58,1406.59,0,0,
638140282312079153,1406.1,1406.16,0,1408.41,1406.58,1406.59,0,0,
638140282312118215,1406.1,1406.11,0,1408.41,1406.58,1406.59,0,0,
