time,binanceOMGBTCbidMax,binanceOMGBTCsellMin,nicehashOMGBTCbidMax,nicehashOMGBTCsellMin,okxOMGBTCOMG-BTCbidMax,okxOMGBTCOMG-BTCsellMin,bitstampOMGBTCbidMax,bitstampOMGBTCsellMin,
638140285674613866,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285674614306,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285675938155,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285680227799,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285704469251,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285704470938,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285708726604,6.43E-05,6.45E-05,6.41E-05,6.48E-05,6.42E-05,6.45E-05,0,0,
638140285710894938,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285715183395,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285717679199,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285717679715,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285722272034,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285726541234,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285729027061,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285733021693,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285735201646,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140285737437305,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285759949585,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285822015858,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285904586834,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285904587431,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285910115102,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140285914371566,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285924986773,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285924987203,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285927010110,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285947389090,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140286414993824,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140286430443780,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140286430444392,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140286430927388,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140286432657074,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140286874413969,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140286888077262,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140286889965902,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140286983973263,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140286988986272,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140287049208763,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140287049484003,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140287065037608,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287356732942,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287422866214,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140287425078797,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287477239443,6.43E-05,6.45E-05,6.43E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287497494976,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287497496173,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140287697132828,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287698306781,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287724484283,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287724484913,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287726527051,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287728892286,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287745088298,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287747027815,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140287755169403,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287755328977,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287765565924,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287765566734,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287783023990,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140287784076754,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287816031743,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.43E-05,6.45E-05,0,0,
638140287818197294,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287818197770,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140287845128775,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140288105101481,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288105101955,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288106171684,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288116067225,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288157088661,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.46E-05,0,0,
638140288158132889,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288162197190,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288162197518,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140288165286034,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.46E-05,0,0,
638140288167158250,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140288169196419,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.46E-05,0,0,
638140288170281718,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
