time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,
638140288459743833,3.86E-06,3.86E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
638140288459744820,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
638140288483779147,3.85E-06,3.86E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
638140288483780290,3.85E-06,3.86E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
638140288559816519,3.85E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
638140288560287426,3.85E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288560947678,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288562061289,3.86E-06,3.87E-06,3.85E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288564040680,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288574325547,3.86E-06,3.87E-06,3.85E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288582407037,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140288586972091,3.86E-06,3.87E-06,3.85E-06,3.87E-06,3.85E-06,3.87E-06,0,0,
638140289492110532,3.86E-06,3.87E-06,3.85E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290433640229,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290495934178,3.86E-06,3.87E-06,3.85E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290869370123,3.86E-06,3.87E-06,3.84E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290887601420,3.85E-06,3.87E-06,3.84E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290887606030,3.85E-06,3.86E-06,3.84E-06,3.87E-06,3.86E-06,3.87E-06,0,0,
638140290890629768,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140290976197828,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.87E-06,0,0,
638140290976198360,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
