time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,
638140283491819260,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283498849828,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140283527802182,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140283527803829,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140283528876193,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140283528877502,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140283550839294,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283550842138,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140283552779971,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140283552887347,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140283622894477,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283800537045,1.536E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283800539198,1.536E-05,1.537E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283800973162,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140283809876830,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140283815792276,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140283887493770,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140283892506649,1.537E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140283892508054,1.537E-05,1.538E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140283893291008,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140283894713606,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140283902794503,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.539E-05,0,0,
638140283904798329,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.54E-05,0,0,
638140283905764385,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.539E-05,0,0,
638140284089979079,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284092882192,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.539E-05,0,0,
638140284092884123,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140284133667290,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140284133981266,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284133983968,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284133984434,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284137107828,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284137108431,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284137858976,1.536E-05,1.537E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284138668001,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284160556458,1.536E-05,1.537E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284173609935,1.536E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284180704964,1.536E-05,1.537E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284246096880,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284257807673,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.534E-05,1.538E-05,0,0,
638140284257808257,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.534E-05,1.538E-05,0,0,
638140284259822505,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.538E-05,0,0,
638140284259824956,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.537E-05,0,0,
638140284268602003,1.535E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.537E-05,0,0,
638140284269079379,1.535E-05,1.537E-05,1.532E-05,1.539E-05,1.535E-05,1.537E-05,0,0,
638140284269728924,1.535E-05,1.536E-05,1.532E-05,1.539E-05,1.535E-05,1.537E-05,0,0,
638140284270978854,1.535E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140284307776125,1.536E-05,1.536E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140284307780020,1.536E-05,1.537E-05,1.532E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140284309495229,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.537E-05,0,0,
638140284343092076,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140284349898006,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140284349898831,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140284380009476,1.536E-05,1.537E-05,1.532E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140284388126951,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.537E-05,0,0,
638140284391792607,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140284417986420,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140284418900992,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140284443931670,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.538E-05,0,0,
638140284443934532,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.535E-05,1.539E-05,0,0,
638140284448880254,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140284448881006,1.536E-05,1.537E-05,1.533E-05,1.538E-05,1.536E-05,1.538E-05,0,0,
638140284476107074,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284499217697,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.538E-05,0,0,
638140284499218396,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284508104488,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284508106219,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284515186298,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.538E-05,0,0,
638140284515188294,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284517964190,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284517967204,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284526895160,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.535E-05,1.538E-05,0,0,
638140284527894172,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284527896345,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.537E-05,0,0,
638140284528943135,1.536E-05,1.537E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284556743203,1.536E-05,1.538E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284559936735,1.537E-05,1.538E-05,1.533E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284560920209,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284611962815,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.535E-05,1.538E-05,0,0,
638140284611964878,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.535E-05,1.539E-05,0,0,
638140284616894352,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284616894993,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.538E-05,0,0,
638140284665875598,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284675874324,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.539E-05,0,0,
638140284675876571,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140284786912132,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284786912793,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284787861668,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.54E-05,0,0,
638140284791892294,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.536E-05,1.539E-05,0,0,
638140284793787111,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140284793787571,1.537E-05,1.538E-05,1.534E-05,1.539E-05,1.537E-05,1.538E-05,0,0,
638140284822620969,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140284831877508,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284835028172,1.537E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284836003464,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284836133941,1.538E-05,1.539E-05,1.535E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284937026399,1.537E-05,1.538E-05,1.535E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284937027087,1.537E-05,1.538E-05,1.535E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140284938593202,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285120846477,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140285130878333,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140285130878916,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140285186897330,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140285186897682,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140285189865894,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140285189866354,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140285197927451,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285210842080,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140285213831721,1.537E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285307260760,1.538E-05,1.538E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285307262701,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285351051634,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.54E-05,0,0,
638140285351052009,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.54E-05,0,0,
638140285439913702,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140285461152555,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140285504827860,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140285552918996,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140285566037289,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.537E-05,0,0,
638140285730971124,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.537E-05,0,0,
638140285742836125,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.538E-05,0,0,
638140285743912372,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.537E-05,0,0,
638140285838875940,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.538E-05,0,0,
638140285968937344,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.539E-05,0,0,
638140285971987153,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140285971987517,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286030878457,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286034020579,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286040945821,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286057973555,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286093048258,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286100999123,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286119896974,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.537E-05,0,0,
638140286208860925,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286213907053,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.535E-05,1.538E-05,0,0,
638140286218932145,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286261014859,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286267864550,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286303947593,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286307871305,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286307871995,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286402879812,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140286402884167,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286406971548,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286440962987,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286445944402,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286493023429,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286495847821,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286495848286,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286584186318,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286594990269,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286613883916,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286732929036,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286763050748,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286780015525,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286801990538,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286842005605,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
