time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
14 March 2023 05:43:15,0.068628,0.068652,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867158,0.068707,0.06863,
14 March 2023 05:43:15,0.068628,0.068652,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068628,0.068652,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068635,0.068652,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068635,0.068652,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068635,0.068651,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068635,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:15,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:16,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:17,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:17,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:17,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:17,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06867051,0.068707,0.06863,
14 March 2023 05:43:18,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:18,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:18,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:18,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:18,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:19,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
14 March 2023 05:43:20,0.068643,0.06865,0.06858192,0.06873872,0.06864,0.06865,0.06860882,0.06853,0.068707,0.06863,
