time,binanceXRPUSDTbidMax,binanceXRPUSDTsellMin,nicehashXRPUSDTbidMax,nicehashXRPUSDTsellMin,okxXRPUSDTXRP-USDTbidMax,okxXRPUSDTXRP-USDTsellMin,bitstampXRPUSDTbidMax,bitstampXRPUSDTsellMin,krakenXRPUSDTbidMax,krakenXRPUSDTsellMin,cryptoXRPUSDTbidMax,cryptoXRPUSDTsellMin,
14 March 2023 05:43:17,0.3679,0.3688,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3686,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3686,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3683,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3683,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3683,0.36785,0.3688,0.36891,0.36827,0.36903,0.3686,0.37009,0.36786,0.369,0.36827,
14 March 2023 05:43:17,0.3679,0.3683,0.36785,0.3688,0.36891,0.36827,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:17,0.3679,0.3683,0.36785,0.3688,0.36891,0.36827,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3679,0.3683,0.36785,0.3688,0.36891,0.36827,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3679,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3679,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3679,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3679,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:18,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36826,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36828,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36833,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36833,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36833,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36834,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36832,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36832,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36832,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36831,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:19,0.3682,0.3683,0.36785,0.3688,0.36891,0.36831,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:20,0.3682,0.3683,0.36785,0.3688,0.36891,0.36831,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:20,0.3682,0.3683,0.36785,0.3688,0.36891,0.36831,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:20,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:20,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.3686,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:20,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36859,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.36829,0.36903,0.36859,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.36829,0.36903,0.36859,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.36829,0.36903,0.36859,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36859,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36858,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36858,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3682,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3683,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.36829,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.36829,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.36829,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.3683,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.36831,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
14 March 2023 05:43:21,0.3683,0.3684,0.36785,0.3688,0.36891,0.36831,0.36903,0.36857,0.37009,0.36786,0.369,0.36821,
