time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,cryptoBCHBTCbidMax,cryptoBCHBTCsellMin,
14 March 2023 05:39:23,0.00518,0.0052,0.00518292,0.00520692,0.00518,0.0052,0.00518147,0.00524589,0.005181,0.0051956,
14 March 2023 05:39:24,0.00518,0.0052,0.00518292,0.00520692,0.00518,0.0052,0.00518147,0.00524589,0.005181,0.0051956,
14 March 2023 05:43:38,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:38,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:38,0.00518,0.00519,0.0051636,0.00519708,0.00517,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:39,0.00518,0.00519,0.0051636,0.00519708,0.00517,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:42,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:42,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:42,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:44,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:44,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:44,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:45,0.00518,0.00519,0.0051636,0.00519708,0.00517,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:45,0.00518,0.00519,0.0051636,0.00519708,0.00517,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:45,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:45,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
14 March 2023 05:43:45,0.00518,0.00519,0.0051636,0.00519708,0.00518,0.00519,0.00517929,0.005236,0.0051821,0.0051991,
