time,binanceADAUSDTbidMax,binanceADAUSDTsellMin,nicehashADAUSDTbidMax,nicehashADAUSDTsellMin,okxADAUSDTADA-USDTbidMax,okxADAUSDTADA-USDTsellMin,krakenADAUSDTbidMax,krakenADAUSDTsellMin,cryptoADAUSDTbidMax,cryptoADAUSDTsellMin,
14 March 2023 05:38:49,0.3426,0.3428,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:49,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:50,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:51,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:51,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:51,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:51,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:51,0.3426,0.3427,0.342,0.343,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:52,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:52,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:52,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:52,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:52,0.3426,0.3427,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3426,0.3427,0.341,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3426,0.3427,0.341,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3426,0.3427,0.341,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3426,0.3427,0.341,0.342,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3427,0.341,0.342,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3427,0.341,0.342,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3426,0.341,0.342,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3426,0.341,0.342,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3426,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3425,0.3425,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3424,0.3425,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3424,0.3425,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:53,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:54,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:54,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:54,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:55,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:55,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:55,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:55,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:56,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:57,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:57,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:57,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:58,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:58,0.3424,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:58,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:58,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:58,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.341,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.342,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:38:59,0.3424,0.3425,0.342,0.342,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:00,0.3424,0.3425,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:00,0.3424,0.3425,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:00,0.3424,0.3425,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:00,0.3425,0.3425,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:00,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:01,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:02,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:02,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:02,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:03,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:03,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:03,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:03,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34284,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34283,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.3428,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.3428,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.342,0.343,0.34292,0.34279,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.341,0.343,0.34292,0.34279,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.341,0.343,0.34292,0.34279,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:04,0.3425,0.3426,0.341,0.342,0.34292,0.34279,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:05,0.3425,0.3426,0.341,0.342,0.34292,0.34278,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:05,0.3425,0.3426,0.341,0.342,0.34292,0.34278,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:05,0.3425,0.3426,0.341,0.342,0.34292,0.34278,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:05,0.3425,0.3426,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34281,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:06,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3426,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3425,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3425,0.3424,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:07,0.3423,0.3424,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
14 March 2023 05:39:08,0.3423,0.3424,0.341,0.342,0.34292,0.34282,0.343901,0.341642,0.34312,0.34264,
