time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,krakenETHUSDTbidMax,krakenETHUSDTsellMin,cryptoETHUSDTbidMax,cryptoETHUSDTsellMin,
14 March 2023 05:45:29,1670.32,1669.68,1667.66,1672.53,1670.17,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.17,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.17,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.21,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.23,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.21,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.19,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.13,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.13,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.13,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.13,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.22,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.28,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.28,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.31,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.31,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.29,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.32,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.32,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.34,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:30,1670.21,1669.68,1667.66,1672.53,1670.34,1669.13,1668.4,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.34,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.34,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.34,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
