time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,cryptoLINKBTCbidMax,cryptoLINKBTCsellMin,
14 March 2023 05:42:49,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:49,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:50,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:50,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:50,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:50,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:50,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.0002759,0.0002762,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.0002759,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.0002759,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.0002759,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:51,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:52,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:52,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:52,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:52,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:52,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:53,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:53,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:54,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:54,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:54,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:54,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:54,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:55,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:55,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:55,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:56,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:56,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:57,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:57,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:57,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:57,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:57,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:58,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:58,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
14 March 2023 05:42:59,0.000276,0.0002761,0.00027563,0.00027647,0.000275,0.000277,0.00026819,0.00027828,0.00027607,0.00027633,
