time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,cryptoADABTCbidMax,cryptoADABTCsellMin,
14 March 2023 05:39:12,1.41E-05,1.413E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:12,1.41E-05,1.413E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:12,1.41E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:12,1.41E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:14,1.411E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:15,1.411E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.413E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.414E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.414E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.414E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
14 March 2023 05:39:21,1.411E-05,1.412E-05,1.409E-05,1.414E-05,1.411E-05,1.412E-05,1.401E-05,1.414E-05,1.4115E-05,1.4114E-05,
