time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,cryptoBTCUSDTbidMax,cryptoBTCUSDTsellMin,
14 March 2023 05:39:06,24258.45,24260.72,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24258.45,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24258.67,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.17,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.17,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.17,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.17,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24258.68,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.19,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.26,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:06,24259.27,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.42,24259.99,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.42,24259.97,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.42,24257.52,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.42,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.33,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.43,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24258.21,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24258.25,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24258.25,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24258.25,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.51,24258.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.51,24259.36,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.52,24259.36,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.52,24259.36,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.54,24259.36,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.55,24259.36,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.55,24259.37,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.55,24259.35,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.55,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.55,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.56,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.58,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.62,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.62,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
14 March 2023 05:39:07,24257.83,24259.26,24237.25,24305.96,24287.9,24286,24296,24276,24320.28,24269.05,
