time,binanceUNIBTCbidMax,binanceUNIBTCsellMin,nicehashUNIBTCbidMax,nicehashUNIBTCsellMin,okxUNIBTCUNI-BTCbidMax,okxUNIBTCUNI-BTCsellMin,bitstampUNIBTCbidMax,bitstampUNIBTCsellMin,cryptoUNIBTCbidMax,cryptoUNIBTCsellMin,
14 March 2023 05:42:45,0.000244,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.0002996,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002489,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.0002996,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002491,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.0002996,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002491,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.00029958,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.00029958,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002497,0.00024905,0.00029957,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024905,0.00029957,0.00024959,0.00025013,
14 March 2023 05:42:45,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024905,0.00029957,0.00024959,0.00025013,
14 March 2023 05:42:46,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024907,0.00029957,0.00024959,0.00025013,
14 March 2023 05:42:46,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024907,0.00029956,0.00024959,0.00025013,
14 March 2023 05:42:48,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024907,0.00029956,0.00024959,0.00025013,
14 March 2023 05:42:48,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024907,0.00029955,0.00024959,0.00025013,
14 March 2023 05:42:48,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024908,0.00029955,0.00024959,0.00025013,
14 March 2023 05:42:49,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:49,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:50,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:50,0.0002497,0.0002498,0.00024925,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:50,0.0002497,0.0002498,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:50,0.0002498,0.0002498,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:50,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:51,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:51,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:51,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:52,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:52,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:52,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:53,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:57,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:58,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:58,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:58,0.0002498,0.0002499,0.00024945,0.00025014,0.0002495,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:42:59,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.00024908,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:00,0.0002498,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:02,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:02,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002499,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002498,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002498,0.00024945,0.00025014,0.0002496,0.0002498,0.0002491,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:03,0.0002497,0.0002498,0.00024945,0.00025014,0.0002496,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:05,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:05,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:05,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:05,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:05,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:06,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:07,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002498,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:07,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:07,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:07,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:08,0.0002497,0.0002498,0.00024945,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:08,0.0002496,0.0002498,0.00024945,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:08,0.0002496,0.0002498,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:08,0.0002497,0.0002498,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:08,0.0002497,0.0002498,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:10,0.0002497,0.0002498,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:13,0.0002497,0.0002498,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:13,0.0002497,0.0002497,0.00024925,0.00025014,0.0002495,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:13,0.0002497,0.0002497,0.00024925,0.00025014,0.0002494,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:13,0.0002497,0.0002497,0.00024925,0.00025014,0.0002494,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:14,0.0002497,0.0002497,0.00024925,0.00025014,0.0002494,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
14 March 2023 05:43:15,0.0002497,0.0002498,0.00024925,0.00025014,0.0002494,0.0002497,0.00024911,0.00029954,0.00024959,0.00025013,
