time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
14 March 2023 05:43:16,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:16,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:17,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:17,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:18,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:18,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:18,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:19,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:19,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
14 March 2023 05:43:20,3.45E-06,3.46E-06,3.44E-06,3.46E-06,3.45E-06,3.47E-06,3.44E-06,3.47E-06,3.4581E-06,3.4666E-06,
