time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,cryptoLTCBTCbidMax,cryptoLTCBTCsellMin,
14 March 2023 05:39:00,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003315,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:00,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003315,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:00,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003315,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:01,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003315,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:01,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:01,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003316,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003317,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:02,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:03,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:03,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:04,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:05,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:06,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:06,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:06,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003317,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:06,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:07,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:07,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:07,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:07,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:08,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:08,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:08,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
14 March 2023 05:39:08,0.003315,0.003316,0.00330947,0.00332052,0.003319,0.003316,0.00331425,0.00332215,0.0033192,0.0033158,
