time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,cryptoLINKBTCbidMax,cryptoLINKBTCsellMin,
15 March 2023 23:01:37,0.0002667,0.0002676,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:38,0.0002667,0.0002676,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:38,0.0002667,0.0002676,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:38,0.0002667,0.0002676,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:40,0.0002667,0.0002671,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:40,0.0002667,0.000267,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:42,0.0002667,0.0002668,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:43,0.0002667,0.0002668,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:43,0.0002667,0.0002668,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:43,0.0002667,0.0002668,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:44,0.0002667,0.000267,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
15 March 2023 23:01:45,0.0002667,0.0002668,0.00026633,0.00026716,0.000266,0.000267,0.00026882,0.00026001,0.00026661,0.00026692,
