time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,cryptoADABTCbidMax,cryptoADABTCsellMin,
15 March 2023 23:01:49,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.317E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:50,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:51,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:51,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:51,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:52,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:52,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:52,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:53,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:53,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:54,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:55,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:55,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:55,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:55,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:56,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:56,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:57,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:57,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:57,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:58,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:58,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:59,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:01:59,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.318E-05,1.319E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.318E-05,1.32E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.319E-05,1.32E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.319E-05,1.32E-05,1.318E-05,1.32E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:00,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:01,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:02,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:02,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:03,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:04,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.318E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:05,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:06,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:08,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:09,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:10,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:11,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:11,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:13,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:13,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:13,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:14,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:14,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:15,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:15,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:15,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
15 March 2023 23:02:15,1.319E-05,1.32E-05,1.318E-05,1.321E-05,1.319E-05,1.32E-05,1.599E-05,1.145E-05,1.3198E-05,1.3194E-05,
