time,binanceSOLUSDTbidMax,binanceSOLUSDTsellMin,nicehashSOLUSDTbidMax,nicehashSOLUSDTsellMin,okxSOLUSDTSOL-USDTbidMax,okxSOLUSDTSOL-USDTsellMin,krakenSOLUSDTbidMax,krakenSOLUSDTsellMin,cryptoSOLUSDTbidMax,cryptoSOLUSDTsellMin,
15 March 2023 23:01:54,19.22,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:54,19.22,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:54,19.22,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.22,19.24,19.21,19.25,19.261,19.244,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.22,19.24,19.21,19.25,19.261,19.246,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.22,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.22,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.244,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.241,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.243,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.24,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.24,19.47,19.04,19.273,19.222,
15 March 2023 23:01:55,19.23,19.24,19.21,19.25,19.261,19.24,19.47,19.04,19.273,19.222,
15 March 2023 23:01:56,19.23,19.24,19.21,19.25,19.261,19.24,19.47,19.04,19.273,19.222,
15 March 2023 23:01:56,19.23,19.24,19.21,19.25,19.261,19.24,19.47,19.04,19.273,19.222,
