time,binanceADAUSDTbidMax,binanceADAUSDTsellMin,nicehashADAUSDTbidMax,nicehashADAUSDTsellMin,okxADAUSDTADA-USDTbidMax,okxADAUSDTADA-USDTsellMin,krakenADAUSDTbidMax,krakenADAUSDTsellMin,cryptoADAUSDTbidMax,cryptoADAUSDTsellMin,
15 March 2023 23:01:28,0.3213,0.3225,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3215,0.3225,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3216,0.3225,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3225,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3222,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3222,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3221,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.322,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:28,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:29,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:29,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
15 March 2023 23:01:29,0.3217,0.3218,0.32,0.321,0.32194,0.32139,0.323488,0.320879,0.32193,0.32155,
