time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,cryptoBTCUSDTbidMax,cryptoBTCUSDTsellMin,
15 March 2023 23:01:42,24363.43,24432.42,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24383.96,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24380.65,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24372.55,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24372.55,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24367.73,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24366.81,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24366.81,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24366.1,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24364.57,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24364.51,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24364.5,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24364.49,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24362.48,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24362.47,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24362.47,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24362.45,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24362.45,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24361.95,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24361.95,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24361.92,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24361.91,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:42,24363.43,24361.9,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24363.43,24361.81,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24363.43,24361.11,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24363.43,24361.03,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24359.2,24361.03,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24359.2,24361.03,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24359.2,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24359.27,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24359.3,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.07,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.08,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.14,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.54,24360.78,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.54,24361.85,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24360.57,24361.85,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24361.7,24361.85,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24361.7,24361.87,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
15 March 2023 23:01:43,24361.7,24361.67,24331.59,24400.44,24396.5,24377.4,46468,24203,24383.59,24347.42,
