time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
15 March 2023 23:01:54,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:54,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:55,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:55,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:55,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:55,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:55,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:57,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:57,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:57,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:58,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:58,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:58,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:01:58,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:00,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:00,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:00,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:00,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:01,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:01,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:02,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:02,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:03,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:03,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:03,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:03,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:03,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:05,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:05,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:05,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
15 March 2023 23:02:05,3.41E-06,3.43E-06,3.4E-06,3.42E-06,3.41E-06,3.43E-06,5.11E-06,3.26E-06,3.4183E-06,3.4227E-06,
