time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,cryptoBCHBTCbidMax,cryptoBCHBTCsellMin,
15 March 2023 23:02:30,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:30,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:31,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:32,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:32,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:32,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:32,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:33,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:33,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:33,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:34,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:34,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:34,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:34,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:35,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050407,0.0050587,
15 March 2023 23:02:36,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:36,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:36,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:36,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:36,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:37,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050408,0.0050587,
15 March 2023 23:02:37,0.00504,0.00505,0.00503312,0.00505884,0.00504,0.00505,0.0050796,0.00450012,0.0050409,0.0050587,
